movie_id,title,poster_path,backdrop_path,genres,overview,year,runtime,vote_average,added_date
8051,Punch-Drunk Love,/htYp4yqFu4rzBEIa6j9jP8miDm3.jpg,/q8GwhIAttJwqmjDtbLW8JvEMMdw.jpg,"Romance, Drama, Comedy",A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.,2002,0,7.1,2026-08-24
1551970,Reptilia,/vkGo5RNYUBnhyFzuoOBJawwmHDU.jpg,/qnEjG7turhykdBvGFdrXMavSzo3.jpg,,"Reptilia is a queer coming of age story about finding yourself in the most unexpected of places. All Jane wants is to fit in, despite her big secret. But when she joins a Meisner class to learn how to act she's about to find out that being a person is...complicated.",,0,0.0,2026-08-24
1538,Collateral,/nV5316WUsVij8sVXLCF1g7TFitg.jpg,/qVzmXKKOTtd3szkiCheCNrfa394.jpg,"Drama, Crime, Thriller",Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,2004,0,7.2,2026-08-24
126314,Final Cut: Ladies and Gentlemen,/tcHQiTS7pQUbwKrmGeW4reZuTxg.jpg,/rTl1x2zvz6EqwlkEo8tZ7l1a8e0.jpg,"Drama, Romance","A film where anything can happen - the hero and the heroine changes their faces, age, look, names, and so on. The only same thing: The love between man and woman... in an archetypical love story cut from 500 classics from all around the world.",2012,0,7.5,2026-08-24
334,Magnolia,/tpfC325Jk6S38VTe5dDWjWtoyxr.jpg,/mFfyE5DPFDqoes4HIcElHc2a15y.jpg,Drama,"On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous lost son, a police officer in love, a boy genius, an ex-boy genius, a game show host and an estranged daughter will each become part of a dazzling multiplicity of plots, but one story.",1999,0,7.7,2026-08-24
991,The Man Who Fell to Earth,/gwmPVphE5DMFFGXGMhfEFyxOOYj.jpg,/ew3x9p8A28p3sLE8OaHwUsb1mSQ.jpg,"Science Fiction, Drama, Fantasy","Thomas Jerome Newton is an alien who has come to Earth in search of water to save his home planet. Aided by lawyer Oliver Farnsworth, Thomas uses his knowledge of advanced technology to create profitable inventions. While developing a method to transport water, Thomas meets Mary-Lou, a quiet hotel clerk, and begins to fall in love with her. Just as he is ready to leave Earth, Thomas is intercepted by the U.S. government, and his entire plan is threatened.",1976,0,6.5,2026-08-24
73,American History X,/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg,/6qHI1IYj7QlLSCwHRzkL62X175s.jpg,Drama,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998,0,8.3,2026-08-24
76203,12 Years a Slave,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,"Drama, History","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",2013,0,7.9,2026-08-24
980158,Enter the Void,,,General,,,0,7.0,2026-08-24
591,The Da Vinci Code,/9ejKfNk0LBhSI9AahH4f9NJNZNM.jpg,/4NsQl44oXVMiuIM9t7ZsVgYzOkv.jpg,"Thriller, Mystery","A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",2006,0,6.7,2026-08-24
